,rating,title,credit,box,year,actor
92,66,Cloud Atlas,Dr. Henry Goose/Hotel Mgr./Isaac Sachs/Dermot Hoggins/Cavend,22.1,2012,Tom Hanks
93,46,Extremely Loud & Incredibly Close,Thomas Schell,31.9,2012,Tom Hanks
94,,Passport To The Universe,Actor,,2012,Tom Hanks
95,67,Game Change,Executive Producer,,2012,Tom Hanks
96,,Small Fry,Woody,,2011,Tom Hanks
97,36,Larry Crowne,"Producer
                                                
                                    
                                            Screenwriter
                                                
                                    
                                            Larry Crowne
                                    
                                            Director",35.6,2011,Tom Hanks
98,,Hawaiian Vacation,Woody,,2011,Tom Hanks
99,99,Toy Story 3,Woody,41.5,2010,Tom Hanks
100,,Rock and Roll Hall of Fame + Museum: Live - Legends,Actor,,2010,Tom Hanks
101,72,Where the Wild Things Are,Producer,77.3,2009,Tom Hanks
102,9,My Life in Ruins,Executive Producer,8.5,2009,Tom Hanks
103,37,Angels & Demons,Robert Langdon,133.4,2009,Tom Hanks
104,72,The Great Buck Howard,"Producer
                                                
                                    
                                            Troy's Father",0.7,2009,Tom Hanks
105,54,City of Ember,Producer,7.8,2008,Tom Hanks
106,55,Mamma Mia!,Executive Producer,143.8,2008,Tom Hanks
107,82,Charlie Wilson's War,"Charlie Wilson
                                    
                                            Producer",66.7,2007,Tom Hanks
108,86,The Pixar Story,Actor,,2007,Tom Hanks
109,88,The Simpsons Movie,Himself,183.2,2007,Tom Hanks
110,23,Evan Almighty,Executive Producer,100.3,2007,Tom Hanks
111,63,The Ant Bully,Producer,28.1,2006,Tom Hanks
112,89,Who Killed the Electric Car?,Actor,1.4,2006,Tom Hanks
113,74,Cars,Woody Car,244.1,2006,Tom Hanks
114,25,The Da Vinci Code,Dr. Robert Langdon,217.6,2006,Tom Hanks
115,90,Starter for 10,Producer,0.2,2006,Tom Hanks
116,90,Neil Young: Heart of Gold,Producer,,2006,Tom Hanks
117,88,Magnificent Desolation: Walking on the Moon 3D,Narrator,32.6,2005,Tom Hanks
118,,Saturday Night Live - The Best of Tom Hanks,Actor,,2005,Tom Hanks
119,55,The Polar Express,"Hero Boy/Father/Conductor/Hobo/Scrooge/Santa
                                    
                                            Executive Producer",162.8,2004,Tom Hanks
120,,The Rutles 2---Can't Buy Me Lunch,Himself,,2004,Tom Hanks
121,61,The Terminal,Viktor Navorski,77.1,2004,Tom Hanks
122,55,The Ladykillers,Prof. Goldthwait Higginson Dorr,,2004,Tom Hanks
123,,Elvis Has Left the Building,Mailbox Elvis,,2004,Tom Hanks
124,,Late Night With Conan O'Brien - 10th Anniversary Special,Actor,,2004,Tom Hanks
125,,Horatio's Drive: America's First Road Trip,Horatio Nelson Jackson,,2003,Tom Hanks
126,95,Great Performances,Actor,,2003,Tom Hanks
127,,Concert for George,Actor,,2003,Tom Hanks
128,96,Catch Me If You Can,Carl Hanratty,164.4,2002,Tom Hanks
129,81,Road to Perdition,Michael Sullivan,104.1,2002,Tom Hanks
130,76,My Big Fat Greek Wedding,Producer,241.3,2002,Tom Hanks
131,,Fighting for Freedom: Revolution & Civil War,Narrator,,2002,Tom Hanks
132,,America: A Tribute to Heroes,Actor,,2001,Tom Hanks
133,,Joe Versus The Volcano,Actor,,2001,Tom Hanks
134,90,Cast Away,"Producer
                                                
                                    
                                            Chuck Noland",,2000,Tom Hanks
135,80,The Green Mile,Paul,,1999,Tom Hanks
