,rating,title,credit,box,year,actor
408,,Broken Vows,Pater Joseph McMahon,,1986,Tommy Lee Jones
409,30,Black Moon Rising,Quint,,1986,Tommy Lee Jones
410,,The Park Is Mine,Mitch,,1986,Tommy Lee Jones
411,,Cat on a Hot Tin Roof,Brick Pollitt,,1984,Tommy Lee Jones
412,,The River Rat,Billy,,1984,Tommy Lee Jones
413,0,Nate and Hayes,Capt. Bully Hayes,,1983,Tommy Lee Jones
414,,The Executioner's Song,Gary Gilmore,,1982,Tommy Lee Jones
415,44,Back Roads,Elmore Pratt,,1981,Tommy Lee Jones
416,,Barn Burning,Actor,,1980,Tommy Lee Jones
417,88,Coal Miner's Daughter,Doolittle Lynn,,1980,Tommy Lee Jones
418,44,Eyes of Laura Mars,John Neville,,1978,Tommy Lee Jones
419,,The Betsy,Angelo Perino,,1978,Tommy Lee Jones
420,,The Amazing Howard Hughes,Howard Hughes,,1977,Tommy Lee Jones
421,85,Rolling Thunder,Johnny Vohden,,1977,Tommy Lee Jones
422,,Jackson County Jail,Coley Blake,,1976,Tommy Lee Jones
423,,Smash-Up on Interstate 5,Actor,,1976,Tommy Lee Jones
424,,Eliza's Horoscope,Tommy,,1975,Tommy Lee Jones
425,58,Love Story,Hank,,1970,Tommy Lee Jones
426,,Wunderland,Maj. McCulley,,2018,Tom Berenger
427,,American Dresser,John Moore,,2018,Tom Berenger
428,,1944: Battle of the Bulge,Actor,,2018,Tom Berenger
429,,Gone Are the Days,Will,,2018,Tom Berenger
430,,Battle of the Bulge: Wunderland,Actor,,2018,Tom Berenger
431,,Cops and Robbers,Actor,,2017,Tom Berenger
432,,Sniper: Ultimate Kill,Thomas Beckett,,2017,Tom Berenger
433,,Impact Earth,Herbert Sloan,,2015,Tom Berenger
434,,Zone d'impact : Terre,Herbert Sloan,,2015,Tom Berenger
435,4,Reach Me,Teddy,,2014,Tom Berenger
436,,Sniper: Legacy,Thomas Beckett,,2014,Tom Berenger
437,,Lonesome Dove Church,John Shepherd,,2014,Tom Berenger
438,,Amber Alert: Terror On The Highway,Actor,,2014,Tom Berenger
439,,Doc Holliday's Revenge,Actor,,2014,Tom Berenger
440,,Bad Country,Lutin,,2014,Tom Berenger
441,44,Brake,Ben Reynolds,,2012,Tom Berenger
442,,War Flowers,General McIntyre,,2011,Tom Berenger
443,,Bucksville,"The Patron
                                    
                                            Producer",,2011,Tom Berenger
444,,Sinners & Saints,Captain Trahan,,2011,Tom Berenger
445,,Last Will,Frank Emery,,2010,Tom Berenger
446,41,Faster,Warden,23.3,2010,Tom Berenger
447,86,Inception,Browning,292.6,2010,Tom Berenger
448,,Smokin' Aces 2: Assassin's Ball,Walter Weed,,2010,Tom Berenger
449,,For Love of Liberty: The Story of America's Black Patriots,Actor,,2010,Tom Berenger
450,0,Breaking Point,Steven Luisi,,2009,Tom Berenger
451,,Silent Venom,Admiral Bradley Wallace,,2009,Tom Berenger
452,,Charlie Valentine,Becker,,2009,Tom Berenger
453,,Desperate Hours,Larsan,,2008,Tom Berenger
454,,Stiletto,Virgil Vadalos,,2008,Tom Berenger
455,,The Christmas Miracle of Jonathan Toomey,Jonathan Toomey,,2007,Tom Berenger
456,,The Detective,Malcolm Ainslie,,2005,Tom Berenger
457,,Firedog,Actor,,2005,Tom Berenger
458,,Sniper 3,Thomas Beckett,,2004,Tom Berenger
459,,Sniper 2,Sgt. Thomas Beckett,,2003,Tom Berenger
460,,The Junction Boys,Paul `Bear' Bryant,,2002,Tom Berenger
461,,The Hollywood Sign,Tom Greener,,2002,Tom Berenger
462,,Johnson County War,Cain Hammett,,2002,Tom Berenger
463,,Cruel and Unusual,Art Stoner,,2002,Tom Berenger
464,15,D-Tox (Eye See You),Hank,,2002,Tom Berenger
465,,True Blue,Rembrandt Macy,,2001,Tom Berenger
466,72,Training Day,Stan,,2001,Tom Berenger
467,,A Tour of the Inferno: Revisiting 'Platoon',Actor,,2001,Tom Berenger
468,,Cutaway,Red Line,,2000,Tom Berenger
469,,Track Down,McCoy Rollins,,2000,Tom Berenger
470,,Takedown,Actor,,2000,Tom Berenger
471,,Diplomatic Siege,Gen. Buck Swain,,1999,Tom Berenger
472,,In the Company of Spies II,Kevin Jefferson,,1999,Tom Berenger
473,38,One Man's Hero,"Producer
                                                
                                    
                                            John Riley",,1999,Tom Berenger
474,0,A Murder of Crows,Clifford Dubose,,1999,Tom Berenger
475,14,Turbulence 2: Fear of Flying,Sikes,,1999,Tom Berenger
476,,Shadow of Doubt,Jack Campioni,,1998,Tom Berenger
477,,Rough Riders,"Producer
                                                
                                    
                                            Theodore Roosevelt",,1997,Tom Berenger
478,60,The Gingerbread Man,Pete Randle,,1997,Tom Berenger
479,,An Occasional Hell,"Ernest Dewalt
                                    
                                            Executive Producer",,1996,Tom Berenger
480,69,Last of the Dogmen,Lewis Gates,,1995,Tom Berenger
481,,Body Language,Atty. Gavin St. Claire,,1995,Tom Berenger
482,41,The Substitute,Shale,,1995,Tom Berenger
483,,The Avenging Angel,"Producer
                                                
                                    
                                            Miles Utley",,1995,Tom Berenger
484,33,Chasers,Rock Reilly,,1994,Tom Berenger
485,5,Major League II,Jake Taylor,,1994,Tom Berenger
486,80,Gettysburg,Lt. Gen. James Longstreet,,1993,Tom Berenger
487,42,Sniper,Tom Beckett,,1993,Tom Berenger
488,12,Sliver,Jack Landsford,,1993,Tom Berenger
489,31,Shattered,Dan Merrick,,1991,Tom Berenger
490,50,At Play in the Fields of the Lord,Lewis Moon,,1991,Tom Berenger
491,71,Love at Large,Harry Dobbs,,1990,Tom Berenger
492,43,The Field,Peter - The American,,1990,Tom Berenger
493,88,Born on the Fourth of July,Recruiting Sergeant,,1989,Tom Berenger
494,82,Major League,Jake Taylor,,1989,Tom Berenger
495,,Last Rites,Father Michael Pace,,1988,Tom Berenger
496,42,Betrayed,"Gary Simmons
                                    
                                            Director",,1988,Tom Berenger
497,100,Shoot to Kill (Deadly Pursuit),Jonathan Knox,,1988,Tom Berenger
498,76,Someone to Watch over Me,Det. Mike Keegan,,1987,Tom Berenger
499,100,Dear America: Letters Home from Vietnam,Co-narrator,,1987,Tom Berenger
500,87,Platoon,Sgt. Barnes,,1986,Tom Berenger
501,18,Rustlers' Rhapsody,Rex O'Herlihan,,1985,Tom Berenger
502,67,Fear City,Matt Rossi,,1984,Tom Berenger
503,68,The Big Chill,Sam,,1983,Tom Berenger
504,33,Eddie and the Cruisers,Frank Ridgeway,,1983,Tom Berenger
505,69,The Dogs of War,Drew,,1980,Tom Berenger
506,,In Praise of Older Women,Andras Vayda,,1978,Tom Berenger
507,58,The Sentinel,Man At End,,1977,Tom Berenger
508,76,Looking for Mr. Goodbar,Gary Cooper White,,1977,Tom Berenger
509,,Rush It,Richard,,1977,Tom Berenger
510,,Butch and Sundance: The Early Days,Butch Cassidy,,1972,Tom Berenger
511,84,Avengers: Infinity War,Loki,66.5,2018,Tom Hiddleston
512,,Avengers : la guerre de l'infini,Loki,,2018,Tom Hiddleston
513,81,Early Man,Lord Nooth,,2018,Tom Hiddleston
514,,Hear Her: Leading Lady Parts,Actor,,2018,Tom Hiddleston
515,92,Thor: Ragnarok,Loki,31.5,2017,Tom Hiddleston
516,75,Kong: Skull Island,James Conrad,16.8,2017,Tom Hiddleston
517,59,High-Rise,Robert Laing,0.4,2016,Tom Hiddleston
518,18,I Saw the Light,Hank Williams,1.7,2016,Tom Hiddleston
519,72,Crimson Peak,Sir Thomas Sharpe,2.6,2015,Tom Hiddleston
520,75,Avengers: Age of Ultron,Actor,429.2,2015,Tom Hiddleston
521,95,Archipelago,Edward,,2014,Tom Hiddleston
522,88,Unrelated,Oakley,,2014,Tom Hiddleston
523,87,Exhibition,Actor,,2014,Tom Hiddleston
524,84,Only Lovers Left Alive,Adam,,2014,Tom Hiddleston
525,80,The Pirate Fairy,James,5.6,2014,Tom Hiddleston
526,,National Theatre Live: Coriolanus,Actor,,2014,Tom Hiddleston
527,,Travelling at Night With Jim Jarmusch,Actor,,2014,Tom Hiddleston
528,,National Theatre Live: Coriolanus Encore,Actor,,2014,Tom Hiddleston
529,66,Thor: The Dark World,Loki,206.4,2013,Tom Hiddleston
530,,Exhibition,Estate Agent 1,,2013,Tom Hiddleston
531,92,Marvel's The Avengers,Loki,623.3,2012,Tom Hiddleston
532,80,The Deep Blue Sea,Freddie Page,1.2,2012,Tom Hiddleston
533,75,War Horse,Captain Nicholls,79.9,2011,Tom Hiddleston
534,93,Midnight in Paris,F. Scott Fitzgerald,55.5,2011,Tom Hiddleston
535,77,Thor,Loki,181.1,2011,Tom Hiddleston
536,,Miss Austen Regrets,Mr. John Plumptree,,2008,Tom Hiddleston
537,83,The Gathering Storm,Randolph Churchill,,2002,Tom Hiddleston
